model	etype	robust	closed	occupancy	derived	default.mixtures	num	divisor
CJS	Live	FALSE	FALSE	FALSE	FALSE	1	-1	1
Recovery	Dead	FALSE	FALSE	FALSE	FALSE	1	0	2
Burnham	Both	FALSE	FALSE	FALSE	FALSE	1	0	2
Barker	Barker	FALSE	FALSE	FALSE	FALSE	1	0	2
POPAN	POPAN	FALSE	FALSE	FALSE	FALSE	1	-1	1
Pradel	Pradel	FALSE	FALSE	FALSE	FALSE	1	-1	1
Pradrec	Pradrec	FALSE	FALSE	FALSE	FALSE	1	-1	1
LinkBarker	LinkBarker	FALSE	FALSE	FALSE	FALSE	1	-1	1
Pradsen	Pradsen	FALSE	FALSE	FALSE	FALSE	1	-1	1
Pradlambda	Pradlambda	FALSE	FALSE	FALSE	FALSE	1	-1	1
Closed	Closed	FALSE	TRUE	FALSE	FALSE	1	-1	1
HetClosed	HetClosed	FALSE	TRUE	FALSE	FALSE	2	-1	1
FullHet	FullHet	FALSE	TRUE	FALSE	FALSE	2	-1	1
Huggins	Huggins	FALSE	TRUE	FALSE	TRUE	1	-1	1
HugHet	HugHet	FALSE	TRUE	FALSE	TRUE	2	-1	1
HugFullHet	HugFullHet	FALSE	TRUE	FALSE	TRUE	2	-1	1
Known	Known	FALSE	FALSE	FALSE	TRUE	1	0	2
Multistrata	Multistrata	FALSE	FALSE	FALSE	FALSE	1	-1	1
Robust	Robust	TRUE	FALSE	FALSE	TRUE	1	0	1
RDHet	RDHet	TRUE	FALSE	FALSE	TRUE	2	0	1
RDFullHet	RDFullHet	TRUE	FALSE	FALSE	TRUE	2	0	1
RDHuggins	RDHuggins	TRUE	FALSE	FALSE	TRUE	1	0	1
RDHHet	RDHHet	TRUE	FALSE	FALSE	TRUE	2	0	1
RDHFHet	RDHFHet	TRUE	FALSE	FALSE	TRUE	2	0	1
Nest	Nest	FALSE	FALSE	FALSE	TRUE	1	0	1
Occupancy	Occupancy	FALSE	FALSE	TRUE	FALSE	1	0	1
OccupHet	OccupHet	FALSE	FALSE	TRUE	FALSE	2	0	1
RDOccupEG	RDOccupEG	TRUE	FALSE	TRUE	TRUE	1	-1	1
RDOccupPE	RDOccupPE	TRUE	FALSE	TRUE	TRUE	1	-1	1
RDOccupPG	RDOccupPG	TRUE	FALSE	TRUE	TRUE	1	-1	1
RDOccupHetEG	RDOccupHetEG	TRUE	FALSE	TRUE	TRUE	2	-1	1
RDOccupHetPE	RDOccupHetPE	TRUE	FALSE	TRUE	TRUE	2	-1	1
RDOccupHetPG	RDOccupHetPG	TRUE	FALSE	TRUE	TRUE	2	-1	1
OccupRPoisson	OccupRPoisson	FALSE	FALSE	TRUE	TRUE	1	0	2
OccupRNegBin	OccupRNegBin	FALSE	FALSE	TRUE	TRUE	1	0	2
OccupRNPoisson	OccupRNPoisson	FALSE	FALSE	TRUE	TRUE	1	0	1
OccupRNNegBin	OccupRNNegBin	FALSE	FALSE	TRUE	TRUE	1	0	1
MSOccupancy	MSOccupancy	FALSE	FALSE	TRUE	TRUE	1	-1	1
Jolly	Jolly	FALSE	FALSE	FALSE	FALSE	1	-1	1
ORDMS	ORDMS	TRUE	FALSE	FALSE	TRUE	1	0	1
Brownie	Brownie	FALSE	FALSE	FALSE	FALSE	1	0	2
MSLiveDead	MSLiveDead	FALSE	FALSE	FALSE	FALSE	1	0	2
CRDMS	CRDMS	TRUE	TRUE	FALSE	TRUE	1	0	1
LogitNormalMR	LogitNormalMR	TRUE	TRUE	FALSE	TRUE	1	-1	1
PoissonMR	PoissonMR	FALSE	TRUE	FALSE	TRUE	1	-1	2
IELogitNormalMR	IELogitNormalMR	TRUE	TRUE	FALSE	TRUE	1	-1	1
