ch	freq
000000111011101	1
000000111111000	1
000001000000000	2
000001001110100	1
000001010000000	1
000001100000010	1
000001100111100	1
000001101111100	1
000001110111000	1
000010001101111	1
000010110111110	1
000011000000000	2
000011010000000	1
000011101011001	1
000011110010000	1
000100000000000	3
000100000011100	1
000100010000011	1
000100110000000	2
000100111010110	1
000101000000000	1
000101011011100	1
000101011111100	1
000101100000000	1
000101111000001	1
000110010000100	1
000110110000000	1
000111010000000	1
000111010011100	1
000111011100101	1
000111101011100	1
000111110000000	2
000111110011011	1
001000000000000	2
001000000101001	1
001000001010011	1
001000001011110	1
001000001101000	1
001000011010010	1
001000100011100	1
001000110000010	1
001000111000100	1
001000111010111	1
001001000000010	1
001001010000000	1
001001011011010	1
001001100000000	1
001001110000000	2
001010100000000	2
001010110000000	1
001010111100100	1
001011001011111	1
001011010110000	1
001011011010100	1
001011011011100	1
001011110000000	1
001011111001000	1
001100000000000	7
001100000111000	1
001100001010100	1
001100101110101	1
001101000000000	1
001101011010100	1
001101011101001	1
001101100010000	1
001101100010100	1
001101110000000	2
001101110011001	1
001101111011001	1
001101111011100	2
001101111110100	1
001101111111000	1
001101111111010	1
001101111111100	1
001110000011101	1
001110100000010	1
001111010000000	1
001111011011111	1
001111111010100	1
001111111011001	1
010000000000000	32
010000000010011	1
010000000011100	1
010000001111010	1
010000001111101	1
010000011001000	1
010000101110100	1
010000110000000	2
010000110000010	1
010000110011000	1
010001000000000	1
010001001111100	1
010001010011100	1
010001010100100	1
010001101100000	1
010001110000000	1
010001110000001	1
010001110101000	1
010001111011000	1
010010000010010	1
010010000010101	1
010010010000000	1
010011000011100	2
010011000111110	1
010011001101100	1
010011001110010	1
010011010000001	1
010011010010111	1
010011010011110	1
010011010101000	1
010011100011001	1
010011110010100	1
010011110101100	1
010011111010010	1
010011111110110	1
010100000000000	6
010100001001110	1
010100110110000	1
010100111001000	2
010101000000000	1
010101000001100	1
010101010000000	2
010101010110100	1
010101011100111	1
010101011111000	1
010101100010000	1
010101101001100	1
010101110000000	2
010101111101100	1
010101111110011	1
010110000000000	3
010110010000000	1
010110010011101	1
010110100000000	1
010110110000000	1
010110110011001	1
010110111001110	1
010111000000000	1
010111001101110	2
010111010000000	1
010111011111000	1
010111101111010	1
010111111011100	1
010111111111100	1
011000000000000	10
011000000110000	1
011000001110111	1
011000001111101	1
011001000000000	2
011001001000010	1
011001001001100	1
011001010000000	1
011001010000011	1
011001010001100	1
011001011001101	1
011001011011110	1
011001011100011	1
011001101011100	1
011001101011111	1
011001110000000	2
011001110000011	1
011010010111110	1
011010110111000	1
011011001011111	1
011011010000000	2
011011010000001	1
011011010110101	1
011011010111000	1
011011011110100	1
011011100001111	1
011011110000000	2
011011110001100	1
011011110111010	1
011100000000000	7
011100000000010	1
011100000010000	1
011100000110000	1
011100001001011	1
011100001110100	1
011100001111100	1
011100100011010	1
011100111101110	1
011101000000000	2
011101010010100	1
011101011101100	1
011101100000000	1
011101100110000	1
011101100111110	2
011101101101100	1
011101101111101	1
011101110000001	1
011101110000011	1
011101110010100	1
011101110100000	1
011101110100100	1
011101110101111	1
011101111010111	1
011110000001100	1
011110010011010	1
011110110000000	1
011110110111011	1
011110110111101	1
011110111010110	1
011111010000000	1
011111010100100	1
011111100000000	3
011111100010000	1
011111101010000	1
011111101110101	1
011111110000000	1
011111110000001	1
011111110001100	1
011111110001110	1
011111110111110	1
011111111001100	1
011111111011001	1
011111111110000	1
100000000000000	42
100000000000001	1
100000000011100	1
100000000101101	1
100000100101100	1
100000101110100	1
100000110000000	2
100000110011110	1
100000111101111	1
100001000000000	2
100001000011110	1
100001000101100	1
100001001100000	1
100001011100010	1
100001011110101	1
100001100000000	1
100001100001000	1
100001100111000	1
100001101001111	1
100001101111111	1
100010001001100	1
100010001111111	1
100010010000000	1
100010011001101	1
100010100000000	2
100010101101100	1
100010110011100	1
100010111111110	1
100011001001110	1
100011010000000	1
100011010111000	1
100011100000000	2
100011100110100	1
100011100111111	1
100011110000000	2
100011110101010	1
100011110101110	1
100011111111000	1
100100000000000	11
100100000000001	1
100100001011100	1
100100001101110	1
100100001110100	1
100100010000111	1
100100100110100	1
100100110000000	1
100100111010000	1
100100111111101	1
100101000000000	1
100101011011110	1
100101101011110	1
100101111001101	1
100101111011011	1
100110010011111	1
100110011011011	1
100110110000000	1
100110110101000	1
100110111111011	1
100111000000000	1
100111000001100	1
100111000010000	1
100111000111100	1
100111001110111	1
100111100000000	2
100111110000000	2
100111111001100	1
100111111010100	1
100111111110100	1
101000000000000	4
101000000011000	1
101000000101100	1
101000001001100	1
101000001010100	1
101000001011100	2
101000110000000	1
101000111110111	1
101001000000000	2
101001000011111	1
101001000111011	1
101001100000000	2
101001100111111	1
101001101011001	1
101001101110101	1
101001101111100	1
101001110000000	3
101001110001100	1
101001110011000	1
101001111001101	2
101001111110010	1
101001111111100	1
101010010010001	1
101010100000000	1
101010100011011	1
101010100110011	1
101010101011100	1
101010110000000	1
101011000000000	1
101011001101010	1
101011001111010	1
101011010011001	1
101011010111000	1
101011100000000	2
101011101011001	1
101011110000000	3
101011111011101	1
101100000000000	13
101100000001000	1
101100000111100	1
101100000111110	1
101100001011001	1
101100001111100	1
101100010011100	1
101100010101110	1
101100101001001	1
101100101011100	1
101100101111100	1
101100110000000	1
101100110011100	1
101100110111001	1
101101000010111	1
101101000111000	1
101101000111010	1
101101001101100	1
101101010000000	5
101101010000001	1
101101010110110	1
101101011011100	1
101101011111100	1
101101101001000	1
101101101010111	1
101101110000000	1
101101110000010	1
101101110000011	2
101101110110011	1
101101111111111	1
101110000000000	1
101110010000000	1
101110011001100	1
101110100000000	1
101110110000000	1
101110110000011	1
101111000000000	1
101111000000010	1
101111010000000	1
101111010000010	1
101111010010100	1
101111011111100	1
101111100000000	1
101111100001100	1
101111101010010	1
101111101101100	1
101111101110010	1
101111101110110	1
101111110000000	1
101111110000011	1
101111110111101	1
101111111011000	1
