ch	TotalLocations	TotalIn	Site	DTE
01000	10	5	A	0
01100	10	10	A	20
01000	10	4	A	0
10000	10	5	A	0
10110	10	10	A	20
10000	10	7	A	10
00011	10	7	A	10
00010	10	10	A	30
11010	10	10	A	10
10000	10	6	A	10
01000	.	.	A	0
00100	.	.	A	0
00001	.	.	A	10
00010	.	.	A	10
00011	.	.	A	10
01001	.	.	A	5
00100	.	.	A	20
00010	.	.	A	10
01000	.	.	A	20
10010	10	10	B	20
10000	10	1	B	0
00100	10	8	B	20
00001	10	10	B	20
00010	10	5	B	0
00010	10	5	B	20
00010	10	0	B	0
00110	.	.	B	25
00001	.	.	B	0
00101	.	.	B	20
11101	.	.	B	15
01010	.	.	B	25
11101	.	.	B	27.5
