ch,sOpen,sSlope,pOpen11,pOpen12,pOpen13,pOpen14,pOpen15,pOpen16,pOpen17,pOpen18,pOpen19,pOpen21,pOpen22,pOpen23,pOpen24,pOpen25,pOpen26,pOpen27,pOpen28,pOpen29,pSlope11,pSlope12,pSlope13,pSlope14,pSlope15,pSlope16,pSlope17,pSlope18,pSlope19,pSlope21,pSlope22,pSlope23,pSlope24,pSlope25,pSlope26,pSlope27,pSlope28,pSlope29
100......011.1101.,0.083895637,17.79772905,0.021978022,0.021978022,0.021978022,0.039106145,0.039106145,0.039106145,0.226519337,0.226519337,0.226519337,0.040178571,0.040178571,0.040178571,0.058295964,0.058295964,0.058295964,0.090497738,0.090497738,0.090497738,23.25742975,23.25742975,23.25742975,14.57480031,14.57480031,14.57480031,19.24679251,19.24679251,19.24679251,22.81635049,22.81635049,22.81635049,21.09653094,21.09653094,21.09653094,16.23169872,16.23169872,16.23169872
.........0..000110,0.025433266,11.33506969,0,0,0,0,0,0,0,0,0,0.004524887,0.004524887,0.004524887,0.157407407,0.157407407,0.157407407,0.004504505,0.004504505,0.004504505,0,0,0,0,0,0,0,0,0,6.419122496,6.419122496,6.419122496,11.56697819,11.56697819,11.56697819,10.51534027,10.51534027,10.51534027
.........00.000000,0.073565804,20.08461742,0,0,0,0,0,0,0,0,0,0.063063063,0.063063063,0.063063063,0.116591928,0.116591928,0.116591928,0.063348416,0.063348416,0.063348416,0,0,0,0,0,0,0,0,0,14.88102023,14.88102023,14.88102023,12.0374785,12.0374785,12.0374785,12.59924894,12.59924894,12.59924894
............001101,0.145106862,12.65276055,0,0,0,0,0,0,0,0,0,0.205357143,0.205357143,0.205357143,0.200892857,0.200892857,0.200892857,0.149321267,0.149321267,0.149321267,0,0,0,0,0,0,0,0,0,15.17573118,15.17573118,15.17573118,16.19422629,16.19422629,16.19422629,11.04115162,11.04115162,11.04115162
.........111111..0,0.147898404,12.3754353,0,0,0,0,0,0,0,0,0,0.35426009,0.35426009,0.35426009,0.072727273,0.072727273,0.072727273,0.134529148,0.134529148,0.134529148,0,0,0,0,0,0,0,0,0,6.482412925,6.482412925,6.482412925,13.84392411,13.84392411,13.84392411,16.2301449,16.2301449,16.2301449
............000010,0.066981344,12.23748212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.109397802,8.109397802,8.109397802,9.782422657,9.782422657,9.782422657,8.291001966,8.291001966,8.291001966
11.001...111110111,0.089128967,8.785634155,0.116666667,0.116666667,0.116666667,0.027777778,0.027777778,0.027777778,0.17032967,0.17032967,0.17032967,0.15625,0.15625,0.15625,0.158371041,0.158371041,0.158371041,0.202643172,0.202643172,0.202643172,9.967886313,9.967886313,9.967886313,10.02647254,10.02647254,10.02647254,6.462593827,6.462593827,6.462593827,6.478174884,6.478174884,6.478174884,5.894289086,5.894289086,5.894289086,5.278665277,5.278665277,5.278665277
.........00.11.00.,0.024510906,22.90165886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.56509522,15.56509522,15.56509522,17.28699517,17.28699517,17.28699517,0,0,0
.........11.00.11.,0.056917885,10.30805328,0,0,0,0,0,0,0,0,0,0.190045249,0.190045249,0.190045249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.407681727,6.407681727,6.407681727,5.596194465,5.596194465,5.596194465,0,0,0
.........01.01.10.,0.104316547,15.06047782,0,0,0,0,0,0,0,0,0,0.254464286,0.254464286,0.254464286,0.125560538,0.125560538,0.125560538,0,0,0,0,0,0,0,0,0,0,0,0,7.504997574,7.504997574,7.504997574,4.566618625,4.566618625,4.566618625,0,0,0
100......00.00.00.,0.063034669,17.16628235,0,0,0,0.005555556,0.005555556,0.005555556,0.281767956,0.281767956,0.281767956,0.089285714,0.089285714,0.089285714,0.081447964,0.081447964,0.081447964,0,0,0,9.334690653,9.334690653,9.334690653,7.289915984,7.289915984,7.289915984,10.33889489,10.33889489,10.33889489,9.407933014,9.407933014,9.407933014,26.61576219,26.61576219,26.61576219,0,0,0
.........000111111,0.381949133,8.42829923,0,0,0,0,0,0,0,0,0,0.456621005,0.456621005,0.456621005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.75526042,10.75526042,10.75526042,12.28426867,12.28426867,12.28426867,4.958348649,4.958348649,4.958348649
01........00000.00,0.104836895,14.6214554,0.194444444,0.194444444,0.194444444,0.173184358,0.173184358,0.173184358,0,0,0,0.009049774,0.009049774,0.009049774,0.13963964,0.13963964,0.13963964,0.159090909,0.159090909,0.159090909,9.138571461,9.138571461,9.138571461,10.63883959,10.63883959,10.63883959,0,0,0,13.25907691,13.25907691,13.25907691,10.61535035,10.61535035,10.61535035,10.667851,10.667851,10.667851
.........000.0.000,0.060013486,10.24975973,0,0,0,0,0,0,0,0,0,0,0,0,0.00456621,0.00456621,0.00456621,0.194570136,0.194570136,0.194570136,0,0,0,0,0,0,0,0,0,14.48781338,14.48781338,14.48781338,11.68351507,11.68351507,11.68351507,9.027144291,9.027144291,9.027144291
.........00.1..11.,0.04501463,10.19972776,0,0,0,0,0,0,0,0,0,0.040909091,0.040909091,0.040909091,0.00462963,0.00462963,0.00462963,0,0,0,0,0,0,0,0,0,0,0,0,2.073465911,2.073465911,2.073465911,3.149486054,3.149486054,3.149486054,0,0,0
000......0000000.0,0.185910421,20.73369235,0.25,0.25,0.25,0.055248619,0.055248619,0.055248619,0.219101124,0.219101124,0.219101124,0.424657534,0.424657534,0.424657534,0.031818182,0.031818182,0.031818182,0.040723982,0.040723982,0.040723982,24.52552446,24.52552446,24.52552446,12.94667088,12.94667088,12.94667088,17.36411975,17.36411975,17.36411975,23.61908055,23.61908055,23.61908055,12.09138259,12.09138259,12.09138259,14.94706099,14.94706099,14.94706099
000......10.00.11.,0.05289219,13.84097963,0.04519774,0.04519774,0.04519774,0.011299435,0.011299435,0.011299435,0.099447514,0.099447514,0.099447514,0.126126126,0.126126126,0.126126126,0.031818182,0.031818182,0.031818182,0,0,0,15.9409543,15.9409543,15.9409543,7.875100411,7.875100411,7.875100411,15.89978651,15.89978651,15.89978651,17.0591806,17.0591806,17.0591806,22.16208322,22.16208322,22.16208322,0,0,0
.........000000000,0.012592759,12.00073798,0,0,0,0,0,0,0,0,0,0.068807339,0.068807339,0.068807339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.274355889,5.274355889,5.274355889,5.509515802,5.509515802,5.509515802,2.563861743,2.563861743,2.563861743
.........00.00.00.,0.071107111,14.90468565,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.004484305,0.004484305,0.004484305,0,0,0,0,0,0,0,0,0,0,0,0,13.88399694,13.88399694,13.88399694,9.586818821,9.586818821,9.586818821,0,0,0
100......01.00.00.,0.103735374,17.43760344,0.078212291,0.078212291,0.078212291,0.038888889,0.038888889,0.038888889,0.011173184,0.011173184,0.011173184,0.172727273,0.172727273,0.172727273,0.081081081,0.081081081,0.081081081,0,0,0,19.88604775,19.88604775,19.88604775,13.52024605,13.52024605,13.52024605,11.61735031,11.61735031,11.61735031,16.31260681,16.31260681,16.31260681,20.41507364,20.41507364,20.41507364,0,0,0
10.......01.01.01.,0.122049899,18.13684078,0.027472527,0.027472527,0.027472527,0.022346369,0.022346369,0.022346369,0,0,0,0.325791855,0.325791855,0.325791855,0.076923077,0.076923077,0.076923077,0,0,0,16.09398356,16.09398356,16.09398356,15.05543201,15.05543201,15.05543201,0,0,0,12.62699896,12.62699896,12.62699896,18.25292931,18.25292931,18.25292931,0,0,0
00.......00.00.00.,0.291497976,20.37941418,0.340659341,0.340659341,0.340659341,0.331491713,0.331491713,0.331491713,0,0,0,0.228310502,0.228310502,0.228310502,0.439461883,0.439461883,0.439461883,0,0,0,11.9871226,11.9871226,11.9871226,8.533802948,8.533802948,8.533802948,0,0,0,9.596277945,9.596277945,9.596277945,9.892283583,9.892283583,9.892283583,0,0,0
00.......000000000,0.161043635,12.38213566,0.251396648,0.251396648,0.251396648,0.054945055,0.054945055,0.054945055,0,0,0,0.129464286,0.129464286,0.129464286,0.259911894,0.259911894,0.259911894,0.135135135,0.135135135,0.135135135,10.96789472,10.96789472,10.96789472,10.61465209,10.61465209,10.61465209,0,0,0,10.32834101,10.32834101,10.32834101,15.86856938,15.86856938,15.86856938,7.76548134,7.76548134,7.76548134
01........1.00.11.,0.070368705,20.21195488,0.430167598,0.430167598,0.430167598,0.078651685,0.078651685,0.078651685,0,0,0,0.04,0.04,0.04,0.436936937,0.436936937,0.436936937,0,0,0,12.81962439,12.81962439,12.81962439,12.03160205,12.03160205,12.03160205,0,0,0,11.30913998,11.30913998,11.30913998,14.00783707,14.00783707,14.00783707,0,0,0
.........000000000,0.183310841,15.8737085,0,0,0,0,0,0,0,0,0,0.273542601,0.273542601,0.273542601,0.30044843,0.30044843,0.30044843,0.387387387,0.387387387,0.387387387,0,0,0,0,0,0,0,0,0,10.1103467,10.1103467,10.1103467,15.47255111,15.47255111,15.47255111,14.68836314,14.68836314,14.68836314
.........01.11....,0.0706094,21.6379323,0,0,0,0,0,0,0,0,0,0.01369863,0.01369863,0.01369863,0.085585586,0.085585586,0.085585586,0,0,0,0,0,0,0,0,0,0,0,0,21.47022858,21.47022858,21.47022858,20.10329419,20.10329419,20.10329419,0,0,0
.........00000.000,0.268616423,16.20874797,0,0,0,0,0,0,0,0,0,0.25462963,0.25462963,0.25462963,0.213333333,0.213333333,0.213333333,0.401785714,0.401785714,0.401785714,0,0,0,0,0,0,0,0,0,7.394670654,7.394670654,7.394670654,8.33637022,8.33637022,8.33637022,11.13154875,11.13154875,11.13154875
.........01.11.11.,0.079775281,15.00569146,0,0,0,0,0,0,0,0,0,0.008810573,0.008810573,0.008810573,0.058035714,0.058035714,0.058035714,0,0,0,0,0,0,0,0,0,0,0,0,15.40806219,15.40806219,15.40806219,11.79903171,11.79903171,11.79903171,0,0,0
