ch	BirdAge	Weight	Wing_Len	condix
1100000000000000	1	1.16	27.7	4.19
1011000000000000	0	1.16	26.4	4.39
1011000000000000	1	1.08	26.7	4.04
1010000000000000	0	1.12	26.2	4.27
1010000000000000	1	1.14	27.7	4.11
1010110000000000	1	1.2	28.3	4.24
1010000000000000	1	1.1	26.4	4.17
1010110000000000	1	1.42	27	5.26
1010000000000000	1	1.12	27.2	4.12
1010101100000000	1	1.11	27.1	4.1
1010101100000000	0	1.07	26.8	3.99
1010101100000000	0	0.94	25.2	3.73
1010101100000000	0	1.24	27.1	4.58
1010101100000000	0	1.12	26.5	4.23
1010101000000000	1	1.34	27.5	4.87
1010101011000000	0	1.01	27.2	3.71
1010101011000000	0	1.04	27	3.85
1010101000000000	1	1.25	27.6	4.53
1010101011000000	0	1.2	27.6	4.35
1010101011000000	0	1.28	27	4.74
1010101010110000	0	1.25	27.2	4.59
1010101010110000	0	1.09	27.5	3.96
1010101010110000	1	1.05	27.5	3.82
1010101010101100	0	1.04	25.5	4.08
1010101010101010	0	1.13	26.8	4.22
1010101010101010	1	1.32	28.5	4.63
1010101010101010	0	1.18	25.9	4.56
1010101010101010	0	1.07	26.7	4.01
1010101010101010	1	1.26	26.9	4.68
1010101010101010	0	1.27	27.6	4.6
1010101010101010	0	1.08	26	4.15
1010101010101010	1	1.11	27	4.11
1010101010101010	0	1.15	27.1	4.24
1010101010101010	0	1.03	26.5	3.89
1010101010101010	0	1.16	27.5	4.22
1010101010101010	0	1.18	26.3	4.49
1010101010101010	0	1.05	27.1	3.87
1010101010101010	1	1.28	28.1	4.55
1010101010101010	0	1.05	27.5	3.82
1010101010101010	0	1.16	26.6	4.36
1010101010101010	0	1.15	26.3	4.37
1010101010101010	1	1.27	27	4.7
1010101010101010	1	1.37	27.5	4.98
1010101010101010	1	1.22	26.5	4.6
1010101010101010	0	1.22	26.8	4.55
1010101010101010	0	1.14	26.2	4.35
1010101010101010	0	1.14	27	4.22
1010101010101010	0	1.12	27.4	4.09
