ch weight age sex region
1011101  8.3095857 1 M 1
1110000 11.1449917 1 M 2
1000000  4.0252345 1 M 3
1000000  8.6503865 1 M 4
1010000  9.4225103 1 M 1
1001110 14.2694823 1 M 2
1000000  7.5054954 1 M 3
1000000  7.5554678 1 M 4
1110000 12.7028506 1 M 1
1000000 11.7302291 1 M 2
1110101  5.9470038 1 M 3
1000000  7.8533209 1 M 4
1000000  8.3660714 1 M 1
1000000 10.5012524 1 M 2
1011100 10.3112536 1 M 3
1000000  6.5762498 1 M 4
1000000  8.2984035 1 M 1
1000000 14.3859422 1 M 2
1000000 14.5466608 1 M 3
1000000  8.9907386 1 M 4
1011100 12.7491136 1 M 1
1000000  7.8405091 1 M 2
1000100  9.6974494 1 M 3
1000000  5.4953059 1 M 4
1000000  9.1972452 1 M 1
1000000  8.7334127 1 M 2
1010111 15.3481972 1 M 3
1000000  9.0213748 1 M 4
1110000  7.9895376 1 M 1
1100000  6.6743113 1 M 2
1000000 11.4242813 1 M 3
1000000 13.5129186 1 M 4
1000000  8.6174000 1 M 1
1000000 10.3821030 1 M 2
1000000  6.5697631 1 M 3
1000000 11.3305070 1 M 4
1100000  8.7969478 1 M 1
1100000  8.6785412 1 M 2
1000000 10.5454359 1 M 3
1000000 19.7128990 1 M 4
1111111  4.8270408 1 M 1
1000000 15.1776667 1 M 2
1111100  2.8550733 1 M 3
1000000 10.6720757 1 M 4
1010000  9.5830480 1 M 1
1000000  9.7448887 1 M 2
1100000  9.6020247 1 M 3
1100000  9.2011572 1 M 4
1010000  8.5971520 1 M 1
1000000  5.7268963 1 M 2
1000000  8.9169092 1 M 3
1010000 10.0958709 1 M 4
1000000  8.1382373 1 M 1
1000000  7.8456920 1 M 2
1000000  9.3280966 1 M 3
1000000  3.4020016 1 M 4
1010000 11.9692642 1 M 1
1010100 12.9793170 1 M 2
1001110 12.0787899 1 M 3
1000000 10.3978022 1 M 4
1100000 15.6943440 1 M 1
1000000 10.5603766 1 M 2
1000000  8.9017378 1 M 3
1000000  8.8114834 1 M 4
1000000  6.5016475 1 M 1
1000000 14.8429132 1 M 2
1100000 10.6177428 1 M 3
1110010 10.7750242 1 M 4
1000000  5.3175565 1 M 1
1000000 11.3933894 1 M 2
1111000  8.2475187 1 M 3
1011000 12.3513292 1 M 4
1010101 12.6573048 1 M 1
1110100  9.6451348 1 M 2
1010111 11.7662092 1 M 3
1000000 11.6099078 1 M 4
1011000  8.9837672 1 M 1
1000000 12.4243076 1 M 2
1000000 10.1337760 1 M 3
1000000 12.3650890 1 M 4
1000000 10.1304899 1 M 1
1010101 11.2042913 1 M 2
1000000 10.8256224 1 M 3
1000000 10.8469930 1 M 4
1110000 12.6170445 1 M 1
1000000 10.3735454 1 M 2
1111111  6.5694494 1 M 3
1000000 14.3227164 1 M 4
1000000  9.0329187 1 M 1
1000000  7.6474017 1 M 2
1000000  4.3615038 1 M 3
1000000 10.1843203 1 M 4
1000000 11.3699060 1 M 1
1000000  6.5952021 1 M 2
1001111 14.9752957 1 M 3
1000000  9.8438058 1 M 4
1000000  7.9481691 1 M 1
1000000 12.6311388 1 M 2
1000000  7.5648053 1 M 3
1000000  7.0110465 1 M 4
1000000  8.3087515 1 M 1
1110000  9.8060812 1 M 2
1000000 10.6084056 1 M 3
1111100 12.1648280 1 M 4
1000000 12.8228566 1 M 1
1000000 13.9763802 1 M 2
1111101 14.8879721 1 M 3
1110000 10.2636392 1 M 4
1000000 12.9251728 1 M 1
1000000  7.3006745 1 M 2
1110000 13.3332390 1 M 3
1010000 10.0802725 1 M 4
1000000 12.0676976 1 M 1
1000000 10.4306653 1 M 2
1000000  9.2268672 1 M 3
1000000 10.4869353 1 M 4
1000000  7.3213593 1 M 1
1000000 14.3569691 1 M 2
1000000  9.2191366 1 M 3
1100000 12.0962644 1 M 4
1000000  9.8954198 1 M 1
1010100 12.0339214 1 M 2
1000000 11.1574522 1 M 3
1111110 14.6924971 1 M 4
1000000  7.8404563 1 M 1
1000000 15.3555118 1 M 2
1000000 14.4614147 1 M 3
1000000  7.3987699 1 M 4
1000000 13.8354917 1 M 1
1000000  6.7531152 1 M 2
1100000  9.4273387 1 M 3
1000000  9.3453379 1 M 4
1000000 10.0039018 1 M 1
1000000 10.4387073 1 M 2
1100000 12.3912976 1 M 3
1000000 14.3926412 1 M 4
1010000 13.1170505 1 M 1
1000000  8.6062436 1 M 2
1010000 10.6887678 1 M 3
1011100 11.6156587 1 M 4
1100000 11.1537287 1 M 1
1110000 10.4719778 1 M 2
1000000  9.6079198 1 M 3
1000000 10.2973815 1 M 4
1000000  8.3083099 1 M 1
1000000  9.6229349 1 M 2
1000000  5.7090426 1 M 3
1111100  7.1286480 1 M 4
1000000  7.9854740 1 M 1
1000000 13.6562682 1 M 2
1000000 11.0518569 1 M 3
1111101 10.1447172 1 M 4
1000000  4.7613649 1 M 1
1000000  7.9967543 1 M 2
1000000  2.2614384 1 M 3
1000000  8.1028081 1 M 4
1000000  9.5447014 1 M 1
1000000 12.4698612 1 M 2
1011100 12.8577988 1 M 3
1000000  6.0727623 1 M 4
1000000  5.6969508 1 M 1
1010000 16.1797779 1 M 2
1110010 10.2748696 1 M 3
1111000 11.2779519 1 M 4
1010000 11.3940039 1 M 1
1000000  7.7105087 1 M 2
1000000  9.9122834 1 M 3
1000000 12.3782916 1 M 4
1000000  7.4947425 1 M 1
1000000 11.1040617 1 M 2
1000000  9.8029218 1 M 3
1010000 13.6277121 1 M 4
1000000  9.7421977 1 M 1
1000000  8.4703896 1 M 2
1000000 12.1191361 1 M 3
1110111  6.8128857 1 M 4
1010111  9.1131200 1 M 1
1000000 14.3439022 1 M 2
1000000 10.7701654 1 M 3
1011110 10.4817096 1 M 4
1010000 10.5493630 1 M 1
1111111  5.7080526 1 M 2
1000000  6.5587998 1 M 3
1000000  6.4509963 1 M 4
1000000  3.6391837 1 M 1
1000000 12.0845920 1 M 2
1000000 13.2020331 1 M 3
1010100  9.7689302 1 M 4
1010000 13.7883394 1 M 1
1010111  8.0987065 1 M 2
1000000 13.3084461 1 M 3
1000000  4.5616084 1 M 4
1000000  7.1817366 1 M 1
1000000  6.1744233 1 M 2
1000000  4.5407166 1 M 3
1000000  9.9905826 1 M 4
1111111  8.6733119 1 M 1
1110000 10.0159619 1 M 2
1000000  7.8516646 1 M 3
1000000 14.7459734 1 M 4
1000000  8.8264261 1 M 1
1000000  8.1309698 1 M 2
1000000  8.2336530 1 M 3
1000000  7.8356634 1 M 4
1010000  7.2629561 1 M 1
1010100 11.4448142 1 M 2
