FirstFound	LastPresent	LastChecked	Fate	Freq	Robel	PpnGrass	Native	Planted	Wetland	Roadside	AgeFound	AgeDay1
73	89	89	0	1	6	0.8002	0	0	0	1	13	-59
63	90	90	0	1	3.75	0.6684	0	1	0	0	5	-57
70	70	76	1	1	3.75	0.8002	0	1	0	0	13	-56
63	81	85	1	1	3.125	0.6684	1	0	0	0	6	-56
61	61	66	1	1	4.5	0.6684	0	1	0	0	4	-56
57	57	61	1	1	4.25	0.6684	0	1	0	0	1	-55
67	88	88	0	1	8	0.6684	0	1	0	0	12	-54
58	87	87	0	1	5.875	0.4651	1	0	0	0	3	-54
74	86	86	0	1	4.5	0.8002	0	1	0	0	20	-53
65	65	70	1	1	3.625	0.8002	1	0	0	0	11	-53
63	88	88	0	1	5.25	0.8666	0	1	0	0	10	-52
61	66	70	1	1	3.625	0.6684	0	1	0	0	8	-52
63	84	84	0	1	3.75	0.8002	0	1	0	0	11	-51
74	74	78	1	1	5.625	0.8002	1	0	0	0	22	-51
56	56	63	1	1	4.875	0.6684	1	0	0	0	4	-51
57	87	87	0	1	3.5	0.6684	0	1	0	0	5	-51
74	86	86	0	1	3.375	0.8002	0	1	0	0	22	-51
68	87	87	0	1	4.875	0.8002	0	0	1	0	16	-51
56	56	63	1	1	3.875	0.6684	1	0	0	0	4	-51
66	66	73	1	1	3.375	0.8002	0	1	0	0	15	-50
81	84	84	0	1	5.75	0.8002	1	0	0	0	30	-50
63	63	68	1	1	5.25	0.8666	0	1	0	0	13	-49
56	56	63	1	1	5.875	0.6684	1	0	0	0	7	-48
56	63	69	1	1	5.75	0.6684	1	0	0	0	7	-48
74	84	84	0	1	4.125	0.8002	0	0	0	1	25	-48
55	64	69	1	1	5.875	0.4651	0	1	0	0	7	-47
56	80	80	0	1	5	0.6684	1	0	0	0	8	-47
56	56	63	1	1	2.25	0.6684	0	0	0	1	8	-47
50	60	64	1	1	3.75	0.7281	0	0	0	1	2	-47
58	58	63	1	1	3.375	0.6684	0	1	0	0	10	-47
58	73	77	1	1	1.875	0.8666	1	0	0	0	10	-47
57	80	80	0	1	2.25	0.8666	1	0	0	0	9	-47
63	63	68	1	1	4.625	0.8002	0	1	0	0	16	-46
60	79	79	0	1	6.125	0.6684	0	1	0	0	13	-46
61	61	66	1	1	4.75	0.6684	0	1	0	0	14	-46
56	69	74	1	1	4.125	0.6684	1	0	0	0	9	-46
65	81	81	0	1	5	0.8002	0	1	0	0	18	-46
57	68	73	1	1	3	0.4651	1	0	0	0	11	-45
73	76	76	0	1	4.875	0.8002	0	1	0	0	27	-45
54	64	68	1	1	5	0.4651	1	0	0	0	8	-45
75	79	79	0	1	3.75	0.8002	0	1	0	0	29	-45
55	55	59	1	1	3	0.6684	1	0	0	0	9	-45
50	56	60	1	1	5.5	0.7281	0	0	0	1	4	-45
58	58	64	1	1	5.625	0.8666	0	1	0	0	12	-45
62	80	80	0	1	4.875	0.6684	1	0	0	0	16	-45
54	74	74	0	1	4.625	0.4651	1	0	0	0	9	-44
61	66	70	1	1	3.25	0.8666	1	0	0	0	16	-44
73	76	76	0	1	6	0.8002	0	0	1	0	28	-44
52	52	57	1	1	4.25	0.7281	0	1	0	0	7	-44
53	75	75	0	1	4.75	0.7281	0	0	0	1	9	-43
52	61	66	1	1	3.375	0.7281	1	0	0	0	8	-43
63	78	78	0	1	4.75	0.8666	0	1	0	0	19	-43
63	77	77	0	1	3.625	0.8002	0	1	0	0	19	-43
70	70	76	1	1	4.375	0.8002	0	1	0	0	26	-43
73	79	79	0	1	3.75	0.8002	0	1	0	0	29	-43
59	77	77	0	1	4.125	0.8666	0	1	0	0	15	-43
50	50	56	1	1	3.625	0.7281	0	1	0	0	7	-42
63	73	73	0	1	2.75	0.8666	0	1	0	0	20	-42
63	73	73	0	1	3.5	0.8002	0	1	0	0	20	-42
49	49	55	1	1	3.75	0.4651	0	0	1	0	6	-42
56	63	69	1	1	6.25	0.6684	1	0	0	0	14	-41
47	53	59	1	1	5.25	0.4651	0	1	0	0	5	-41
44	44	48	1	1	4.125	0.4651	1	0	0	0	2	-41
55	74	74	0	1	5.125	0.4651	0	1	0	0	14	-40
45	56	61	1	1	4.75	0.4651	1	0	0	0	4	-40
47	53	59	1	1	6.875	0.4651	1	0	0	0	7	-39
61	61	66	1	1	4.5	0.6684	0	1	0	0	21	-39
61	61	66	1	1	4.625	0.6684	0	1	0	0	21	-39
67	70	70	0	1	5.625	0.6684	0	1	0	0	27	-39
55	68	68	0	1	4.375	0.4651	0	1	0	0	15	-39
43	46	50	1	1	4.75	0.8666	1	0	0	0	3	-39
47	67	67	0	1	3.875	0.8666	0	1	0	0	7	-39
64	73	73	0	1	3.5	0.8002	0	0	1	0	24	-39
50	60	64	1	1	1.875	0.7281	0	1	0	0	11	-38
63	63	68	1	1	2.5	0.8002	0	1	0	0	24	-38
54	68	74	1	1	4.625	0.4651	0	1	0	0	15	-38
64	64	69	1	1	3.5	0.8002	0	1	0	0	25	-38
43	70	70	0	1	4.625	0.5079	0	1	0	0	4	-38
42	46	46	0	1	5.75	0.4651	0	1	0	0	4	-37
60	60	65	1	1	3.75	0.8666	1	0	0	0	22	-37
43	46	46	0	1	3.875	0.8666	0	0	0	1	5	-37
61	69	69	0	1	4.75	0.6684	0	1	0	0	23	-37
61	66	70	1	1	4.125	0.6684	0	1	0	0	23	-37
68	72	72	0	1	4.875	0.8002	0	1	0	0	30	-37
52	65	69	1	1	4.125	0.7281	0	0	0	1	14	-37
47	71	71	0	1	3.625	0.8666	0	1	0	0	9	-37
65	70	72	1	1	4.375	0.8002	0	1	0	0	28	-36
43	43	49	1	1	4	0.4651	1	0	0	0	6	-36
41	46	46	0	1	2.375	0.3344	0	1	0	0	4	-36
43	46	50	1	1	5.125	0.8666	0	1	0	0	6	-36
56	72	72	0	1	5.5	0.6684	0	0	0	1	19	-36
42	68	72	1	1	5.875	0.4651	0	1	0	0	5	-36
63	67	67	0	1	4.125	0.8002	0	1	0	0	26	-36
62	70	70	0	1	4.5	0.8666	0	0	0	1	25	-36
55	66	66	0	1	3.75	0.4651	0	1	0	0	18	-36
44	72	72	0	1	3.75	0.8666	0	1	0	0	7	-36
67	68	68	0	1	9.25	0.6684	0	1	0	0	31	-35
61	65	65	0	1	4.625	0.6684	0	1	0	0	25	-35
62	67	67	0	1	3.5	0.6684	0	0	1	0	26	-35
42	57	60	1	1	5.375	0.3344	0	0	0	1	6	-35
52	52	57	1	1	2.875	0.7281	0	0	1	0	16	-35
50	64	69	1	1	4	0.7281	1	0	0	0	14	-35
48	55	60	1	1	5.875	0.7281	0	0	0	1	12	-35
