ch	tag
A00000	v7
A00A00	v7
A00000	v7
A00B00	v7
A00A00	v7
A00A0A	v7
A00000	v7
A00A00	v7
A00000	v7
A00000	v7
A00A00	v7
A00000	v7
A00000	v7
A00B00	v7
A00000	v7
A000BA	v7
A00000	v7
A00000	v7
A00B00	v7
A00A00	v7
A00000	v7
A00000	v7
A00B00	v7
A00A00	v7
A00000	v7
A00000	v7
A000B0	v7
A00A00	v7
A00A00	v7
A00000	v7
A00000	v7
A00000	v7
A00000	v7
A00000	v7
A00000	v7
A00A00	v7
A00000	v7
A00A00	v7
A00B00	v7
A00000	v7
A00000	v7
A00000	v7
A00000	v7
A00000	v7
A00000	v7
A00000	v7
A00A0A	v7
A00000	v7
A00000	v7
A0000A	v7
A00000	v9
A00000	v9
A00000	v9
A00000	v9
A00000	v9
A00000	v9
A00000	v9
AAAA0A	v9
AAAB00	v9
A00000	v9
AAAA0A	v9
A00000	v9
A00000	v9
A00000	v9
A00000	v9
A00000	v9
A00000	v9
A00000	v9
AABB00	v9
AABB0A	v9
A00000	v9
A00000	v9
A00000	v9
A00000	v9
AAAB00	v9
AAA000	v9
A00000	v9
A00000	v9
A00000	v9
A00000	v9
AABB00	v9
A00000	v9
A00000	v9
A00000	v9
AABBBA	v9
AAAA0A	v9
A00000	v9
A00000	v9
AAAB00	v9
AAAA0A	v9
AABB00	v9
A00000	v9
AAAA00	v9
A00000	v9
AAAA00	v9
A00000	v9
A00000	v9
A00000	v9
A00000	v9
A00000	v9
