ch	Browse	Obs1	Obs2	Obs3	Obs4	Obs5
0000.	1	1	3	2	3	.
0000.	1	1	3	2	3	.
0001.	1	1	3	2	3	.
0000.	0	1	3	2	3	.
0000.	1	1	3	2	3	.
0000.	0	1	3	2	3	.
0000.	0	1	3	2	3	.
0000.	0	1	3	2	3	.
0000.	0	1	3	2	3	.
1100.	1	1	3	2	3	.
00.10	1	1	3	.	3	1
01.00	1	1	3	.	3	1
01.01	1	1	3	.	3	1
00.00	0	1	3	.	3	1
10.11	0	1	3	.	3	1
.00.1	1	.	3	2	.	1
.00.0	1	.	3	2	.	1
.01.0	0	.	3	2	.	1
.00.0	0	.	3	2	.	1
000.0	1	1	3	2	.	1
0.0.0	1	1	.	2	.	1
0.0.0	0	1	.	2	.	1
1.0.0	1	1	.	2	.	1
0.0.0	0	1	.	2	.	1
0.0.0	0	1	.	2	.	1
000..	0	2	1	3	.	.
000..	0	2	1	3	.	.
010..	1	2	1	3	.	.
000..	0	2	1	3	.	.
0000.	0	2	1	3	1	.
0000.	0	2	1	3	1	.
0000.	1	2	1	3	1	.
0000.	0	2	1	3	1	.
00001	0	2	1	3	1	2
00000	0	2	1	3	1	2
00000	0	2	1	3	1	2
01100	0	2	1	3	1	2
.0.00	1	.	1	.	1	2
.1.00	0	.	1	.	1	2
.0000	0	.	1	3	1	2
.1101	0	.	1	3	1	2
.0001	1	.	1	3	1	2
..001	0	.	.	3	1	2
..111	0	.	.	3	1	2
..001	0	.	.	3	1	2
..001	1	.	.	3	1	2
..101	0	.	.	3	1	2
0000.	1	3	2	1	2	.
1010.	1	3	2	1	2	.
1000.	0	3	2	1	2	.
1000.	1	3	2	1	2	.
0001.	1	3	2	1	2	.
0001.	0	3	2	1	2	.
0000.	1	3	2	1	2	.
0000.	1	3	2	1	2	.
0000.	0	3	2	1	2	.
1001.	1	3	2	1	2	.
00.00	1	3	2	.	2	3
01.10	1	3	2	.	2	3
11.11	1	3	2	.	2	3
10.11	1	3	2	.	2	3
00.01	1	3	2	.	2	3
.00.0	0	.	2	1	.	3
.00.0	0	.	2	1	.	3
.10.1	1	.	2	1	.	3
.00.0	1	.	2	1	.	3
.10.1	1	.	2	1	.	3
1.0.1	1	3	.	1	.	3
1.0.0	0	3	.	1	.	3
0.0.0	1	3	.	1	.	3
0.0.0	0	3	.	1	.	3
0.0.1	0	3	.	1	.	3
