MarkNumber	model	etype	robust	closed	occupancy	derived	default.mixtures	num	divisor	strata
1	CJS	Live	FALSE	FALSE	FALSE	FALSE	1	-1	1	FALSE
2	Recovery	Dead	FALSE	FALSE	FALSE	FALSE	1	0	2	FALSE
3	Burnham	Both	FALSE	FALSE	FALSE	FALSE	1	0	2	FALSE
4	Known	Known	FALSE	FALSE	FALSE	TRUE	1	0	2	FALSE
5	Closed	Closed	FALSE	TRUE	FALSE	TRUE	1	-1	1	FALSE
7	Robust	Robust	TRUE	FALSE	FALSE	TRUE	1	0	1	FALSE
8	Barker	Barker	FALSE	FALSE	FALSE	FALSE	1	0	2	FALSE
9	Multistrata	Multistrata	FALSE	FALSE	FALSE	FALSE	1	-1	1	TRUE
10	Brownie	Brownie	FALSE	FALSE	FALSE	FALSE	1	0	2	FALSE
11	Jolly	Jolly	FALSE	FALSE	FALSE	FALSE	1	-1	1	FALSE
12	Huggins	Huggins	FALSE	TRUE	FALSE	TRUE	1	-1	1	FALSE
13	RDHuggins	RDHuggins	TRUE	FALSE	FALSE	TRUE	1	0	1	FALSE
14	Pradel	Pradel	FALSE	FALSE	FALSE	FALSE	1	-1	1	FALSE
15	Pradsen	PradSen	FALSE	FALSE	FALSE	TRUE	1	-1	1	FALSE
16	Pradlambda	PradLambda	FALSE	FALSE	FALSE	TRUE	1	-1	1	FALSE
17	Pradrec	PradRec	FALSE	FALSE	FALSE	TRUE	1	-1	1	FALSE
18	RDBarker	RDBarker	TRUE	TRUE	FALSE	TRUE	1	0	2	FALSE
19	POPAN	POPAN	FALSE	FALSE	FALSE	TRUE	1	-1	1	FALSE
21	MSLiveDead	MSLiveDead	FALSE	FALSE	FALSE	FALSE	1	0	2	TRUE
22	HetClosed	HetClosed	FALSE	TRUE	FALSE	TRUE	2	-1	1	FALSE
23	FullHet	FullHet	FALSE	TRUE	FALSE	TRUE	2	-1	1	FALSE
24	Nest	Nest	FALSE	FALSE	FALSE	TRUE	1	0	1	FALSE
25	HugHet	HugHet	FALSE	TRUE	FALSE	TRUE	2	-1	1	FALSE
26	HugFullHet	HugFullHet	FALSE	TRUE	FALSE	TRUE	2	-1	1	FALSE
27	Occupancy	Occupancy	FALSE	FALSE	TRUE	TRUE	1	0	1	FALSE
28	RDOccupPE	RDOccupPE	TRUE	FALSE	TRUE	TRUE	1	-1	1	FALSE
29	RDOccupPG	RDOccupPG	TRUE	FALSE	TRUE	TRUE	1	-1	1	FALSE
30	RDOccupEG	RDOccupEG	TRUE	FALSE	TRUE	TRUE	1	-1	1	FALSE
31	LinkBarker	LinkBarker	FALSE	FALSE	FALSE	TRUE	1	-1	1	FALSE
32	ORDMS	ORDMS	TRUE	FALSE	FALSE	TRUE	1	0	1	TRUE
33	CRDMS	CRDMS	TRUE	TRUE	FALSE	TRUE	1	0	1	TRUE
34	HCRDMS	HCRDMS	TRUE	TRUE	FALSE	TRUE	1	0	1	TRUE
35	HetRDMS	HetRDMS	TRUE	TRUE	FALSE	TRUE	2	0	1	TRUE
36	FHetRDMS	FHetRDMS	TRUE	TRUE	FALSE	TRUE	2	0	1	TRUE
37	HHetRDMS	HHetRDMS	TRUE	TRUE	FALSE	TRUE	2	0	1	TRUE
38	HFHetRDMS	HFHetRDMS	TRUE	TRUE	FALSE	TRUE	2	0	1	TRUE
39	RDHet	RDHet	TRUE	FALSE	FALSE	TRUE	2	0	1	FALSE
40	RDFullHet	RDFullHet	TRUE	FALSE	FALSE	TRUE	2	0	1	FALSE
41	RDHHet	RDHHet	TRUE	FALSE	FALSE	TRUE	2	0	1	FALSE
42	RDHFHet	RDHFHet	TRUE	FALSE	FALSE	TRUE	2	0	1	FALSE
43	RDBarkHug	RDBarkHug	TRUE	TRUE	FALSE	TRUE	1	0	2	FALSE
44	RDBarkHet	RDBarkHet	TRUE	TRUE	FALSE	TRUE	1	0	2	FALSE
45	RDBarkFHet	RDBarkFhet	TRUE	TRUE	FALSE	TRUE	1	0	2	FALSE
46	RDBarkHHet	RDBarkHHet	TRUE	TRUE	FALSE	TRUE	1	0	2	FALSE
47	RDBarkHFHet	RDBarkHFHet	TRUE	TRUE	FALSE	TRUE	1	0	2	FALSE
67	RDPdGClosed	RDPdGClosed	TRUE	TRUE	FALSE	TRUE	1	0	1	FALSE
68	RDPdGHuggins	RDPdGHuggins	TRUE	TRUE	FALSE	TRUE	1	0	1	FALSE
69	RDPdGHet	RDPdGHet	TRUE	TRUE	FALSE	TRUE	2	0	1	FALSE
70	RDPdGFullHet	RDPdGFullHet	TRUE	TRUE	FALSE	TRUE	2	0	1	FALSE
71	RDPdGHugHet	RDPdGHugHet	TRUE	TRUE	FALSE	TRUE	2	0	1	FALSE
